NAME IN REPO	META PACKAGE	PACKAGE GROUP(S)	PURPOSE (should be a verb phrase to sound right while installing)
ack			
acpi			
adobe-source-code-pro-fonts			
adwaita-icon-theme			
alacritty			
alsa-utils			"provides amixer and other ALSA utilities."
archey3			"outputs a logo and various system information, need it for the matrix look."
archlinux-keyring	base	base-devel	
ascii			
asciiquarium			
autoconf		base-devel	
automake		base-devel	
base			"is a meta package which defines (and prevents from removing) a basic Arch Linux installation."
bat			"can highlight code output and display files."
bc			"is used for a dropdown calculator."
biber			
bind			"is a versatile name server software which provides dig, host, and other utilities."
binutils		base-devel	
bison		base-devel	
broot			
calcurse			
calibre			
chromium			
cloc			
cmake			"is a cross-platform open-source make system, is needed to compile YCM vim plugin."
cmatrix			
cmus			
code			
conky			
cool-retro-term			
cowfortune			
cowsay			
cronie			
ctags			"generates an index file of language objects found in source files, is needed by TagBar, CtrlP vim plugins."
cuda			
cudnn			
dhcpcd			
discord			
doge			
dos2unix			
dosbox			
dosfstools			"allows your computer to access dos-like filesystems."
dunst			"is a customizable and lightweight notification system."
efibootmgr			
emacs			
espeak-ng			
expac			
fakeroot		base-devel	
fbgrab			
fd			
feh			"is an image viewer, useful to set a wallpaper."
figlet			
file	base	base-devel	
file-roller		gnome	"is a backend used by thunar-archive-plugin to create and modify archives."
filezilla			
findutils	base	base-devel	
firefox			
flameshot			
flex		base-devel	
freerdp			
fzf			"is a fuzzy finder tool."
gawk	base	base-devel	
gcc		base-devel	
gettext	base	base-devel	
gimp			
git			
git-lfs			
glances			
gmrun			
gnuplot			
graphviz			
grep	base	base-devel	
groff		base-devel	
grub			
gtk2			
gvfs		gnome	"provides trash support, mounting with udisks and remote filesystems for Thunar."
gvim			
gzip	base	base-devel	
hicolor-icon-theme			
htop			"is a graphical and colorful system monitor."
hwloc			
i3-gaps		i3	
i3blocks		i3	
i3lock		i3	
inetutils			
inkscape			
iputils	base		
irssi			
jdk8-openjdk			
jdk-openjdk			
jp2a			
jupyter-nbconvert			
keepass			"is a password manager, useful to save JetBrains IDEs passwords."
keepassxc			"is a cross-platform community-driven port of Keepass password manager, provides org.freedesktop.secrets (optional for chromium, git, teams, necessary for code-features)."
kwallet			"is a password store which I use for Subversion credentials."
kwallet-pam			"is a PAM compatible module for KDE Wallet, used to unlock KDE Wallet automatically on login."
lazygit			
lftp			
lib32-nvidia-utils			
libreoffice-fresh			
libtool		base-devel	
libxft			"is a FreeType-based font drawing library for X."
licenses	base		
linux			
linux-firmware			
logrotate			
lolcat			
lostfiles			
lshw			
lsof			
lvm2			
lxappearance-obconf		lxde	
lynx			"is a terminal browser."
m4		base-devel	
make		base-devel	
man-db			"lets you read man pages of programs."
man-pages			
mc			
mdp			
meld			
mesa-utils			"provides glxinfo among other essential Mesa utilities."
mlocate			
moreutils			"is a collection of useful unix tools."
mpc			"is a terminal interface for mpd."
mpd			"is a lightweight music daemon."
mpv			"is the patrician's choice video player."
msmtp-mta			
mypaint			
ncmpcpp			"is an ncurses interface for music with multiple formats and a powerful tag editor."
neofetch			
neomutt			
newsboat			"is a terminal RSS client."
nmap			
nomacs			
notmuch-vim			
noto-fonts			"is an expansive font package."
noto-fonts-emoji			"is an emoji font."
ntfs-3g			"allows accessing NTFS partitions."
ntp			
nvidia			
nvidia-settings			
obs-studio			
octave			
offlineimap			
openbox		lxde, lxde-gtk3, lxqt 	
openconnect			
openssh			
p7zip			
pacgraph			
pacman	base	base-devel	
patch		base-devel	
pavucontrol			
perl-data-compare			
perl-lingua-translit			
perl-list-moreutils			
picom			"is for transparency and removing screen-tearing."
pkgconf		base-devel	
playerctl			
projectm			
pulseaudio			
pulseaudio-alsa			
python			
python-configobj			
python-fsspec			
python-jupyter_client			
python-lxml			
